Fields,Definitions
Calendar Year,Is the period between January 1 and December 31 for a given year.
Company Name,ONRR does not have a reporting vehicle to track real-time corporate family relationships. We research the best publicly available information yearly to determine the corporate parent. This dataset is for informational purposes only and should not be used for legal purposes. Users assume all risk when referencing this dataset.
Revenue Type,Revenues from U.S. natural resources fall into one of several types.
Royalties,"A natural resource lease owner pays royalties after the lease starts producing a commodity in paying quantities. The amount is based on a percentage of the revenue from the commodity sold. This royalty rate is set in the original lease document that went along with the lease sale. The onshore royalty rate is 12.5%. Offshore leases can have a royalty rates of 12.5%, 16.67%, 18.75%."
Bonus,The amount paid by the highest successful bidder for a natural resource lease. The winning bid. Collected by BLM (Onshore) and ONRR (Offshore).
Rents,"A natural resource lease might not produce a commodity in paying quantities for some time after it is sold. Until it does, periodic payments are made for the right to continue exploration and development of the land for future natural resource production. These payments are called rent. The first year rental is collected by BLM and the remaining rental payments are collected by ONRR."
Other Revenues,"This category includes revenues that are not included in the royalty, rent, or bonus categories, such as: minimum royalties, estimated royalties, settlement agreements, and interest."
Inspection Fees,"This category includes fees for annual inspections performed by the Bureau of Safety and Environmental Enforcement (BSEE) on each offshore permanent structure and drilling rig that conducts drilling, completion, or workover operations. ONRR collects these fees on behalf of BSEE."
Civil Penalties,"Civil penalties are assessed for violations of laws applicable to extractive activities. These penalties are issued by ONRR, BOEM, or BSEE, and are collected by ONRR. There are two lines for this data. Civil penalties are penalties collected by ONRR, and Civil penalties including late charges are penalties collected by BLM."
Permit Fees,"Include mining claim fees paid when mining hardrock minerals, applicants pay a set fee to stake a claim rather than bid on a lease. Also included in this category are Applications to Drill."
Abandoned Mine Lands (AML) Fees,"A fee paid by coal companies, $0.28 per ton of surface coal produced, and $0.12 per ton of subsurface coal produced. These fees are placed in the AML fund to address reclamation of abandoned mines from operations prior to 1977."
Commodity Type,"The DOI collects revenues on over 60 different products. The majority of revenues come from Oil, Gas, Coal, and Renewables (Geothermal and Wind), but you will find many other product categories in these datasets."
Revenue,Total revenue
Locatable Minerals,"The federal law governing locatable minerals is the General Mining Law of 1872 (May 10, 1872), which declared all valuable mineral deposits belonging to the United States ... to be free and open to citizens of the United States to explore for, discover, and purchase. Mineral deposits subject to acquisition in this manner are generally referred to as locatable minerals. Locatable minerals include metallic minerals (gold, silver, lead, copper, zinc, nickel, etc.), nonmetallic minerals (fluorspar, mica, certain limestones and gypsum, tantalum, heavy minerals in placer form and gemstones) and certain uncommon variety minerals. It is very difficult to prepare a complete list of locatable minerals because the history of the law has resulted in a definition of minerals that includes economics."
Mineral Materials,"The BLM makes mineral materials located on public lands, such as sand, gravel, crushed stone, decorative stone, clay, and pumice available for sale under the authority of the Materials Act of 1947. This law authorizes the BLM to sell these mineral materials at fair market value and to grant free-use permits to government agencies and nonprofit organizations, so long as public land resources, the environment, and the public are protected. Mineral materials are among our most basic natural resources. In particular, sand, gravel, and crushed stone, also known as construction aggregate, extracted on BLM administered public lands are necessary for making ready-mixed concrete, asphalt, and many other building materials. By making locally available aggregate supplies available on public lands, BLM can help reduce consumer costs (fuel and energy costs), and reduce environmental impacts (air quality emissions and greenhouse gases)."
Oil & Gas (pre-production),"The commodity category used for offshore oil and gas rents and bonuses. At the time of lease sale, it isn’t known whether a lease will produce oil, gas, or both oil and gas. After a lease starts producing a commodity (or commodities), the lease owner starts paying royalties, and these royalties can then be associated with either oil or gas. Hence, rent and bonus lines of data will be associated with an Oil or Gas (pre-production) commodity type, while royalty lines of data will be associated with either Oil or Gas commodity types."
One Mine One Product,"Disclosing payments of solid mineral companies who produce and sell only one product from one mine can reveal proprietary sales price and contracting information and cause competitive harm to these small companies. The Department of the Interior is legally obligated through the Trades Secrets Act to safeguard this data, so payments from these companies are aggregated (rolled-up) in this category. These aggregated payments make up less than three-thousandths of one percent of all payments."
