Calendar Year,Land Class,Land Category,State,County,FIPS Code,Offshore Region,Product,Volume
2003,Mixed Exploratory,Onshore,Utah,Carbon,"49007","",Oil (bbl),50
2003,Federal,Onshore,California,Solano,"06095","",Gas (mcf),19329370
2003,Federal,Onshore,California,Solano,"06095","",Oil (bbl),18391
2003,Federal,Onshore,Mississippi,Jeffer Davis,"28065","",Oil (bbl),55
2003,Federal,Onshore,Mississippi,Jeffer Davis,"28065","",Gas (mcf),18542
2003,Federal,Onshore,New Mexico,Roosevelt,"35041","",Oil (bbl),145081
2003,Federal,Onshore,Wyoming,Weston,"56045","",Oil (bbl),622411
2003,Federal,Onshore,Wyoming,Weston,"56045","",Gas (mcf),1210278
2003,Federal,Onshore,New Mexico,Union,"35059","",Gas (mcf),3098770
2003,Federal,Onshore,Oklahoma,Kingfisher,"40073","",Gas (mcf),39820
2003,Federal,Onshore,Kentucky,Whitley,"21235","",Gas (mcf),17959
2003,Federal,Onshore,Montana,Musselshell,"30065","",Oil (bbl),6267
2003,Mixed Exploratory,Onshore,Wyoming,Sublette,"56035","",Gas (mcf),33759005
2003,Federal,Onshore,Oklahoma,Kingfisher,"40073","",Oil (bbl),364
2003,Federal,Onshore,Oklahoma,Hughes,"40063","",Gas (mcf),3594
2003,Federal,Onshore,Mississippi,Jones,"28067","",Oil (bbl),1738
2003,Federal,Onshore,Mississippi,Jones,"28067","",Gas (mcf),8650
2003,Federal,Onshore,North Dakota,Bowman,"38011","",Oil (bbl),705010
2003,Federal,Onshore,Texas,Houston,"48225","",Oil (bbl),127508
2003,Federal,Onshore,West Virginia,Pendleton,"54071","",Gas (mcf),1376
2003,Mixed Exploratory,Onshore,Oklahoma,Major,"40093","",Gas (mcf),6565
2003,Mixed Exploratory,Onshore,Oklahoma,Major,"40093","",Oil (bbl),352
2003,Federal,Onshore,Ohio,Trumbull,"39155","",Oil (bbl),951
2003,Federal,Onshore,Ohio,Trumbull,"39155","",Gas (mcf),217875
2003,Federal,Onshore,Utah,Tooele,"49045","",Magnesium chloride brine (ton),61876
2003,Federal,Onshore,Kentucky,Pike,"21195","",Gas (mcf),41444
2003,Federal,Offshore,"","","",Gulf of Mexico,Oil (bbl),561765997
2003,Federal,Onshore,North Dakota,Bowman,"38011","",Gas (mcf),1301636
2003,Federal,Onshore,California,Santa Barbar,"06083","",Gas (mcf),298862
2003,Federal,Onshore,California,Santa Barbar,"06083","",Oil (bbl),127792
2003,Federal,Onshore,Oklahoma,Haskell,"40061","",Gas (mcf),522469
2003,Mixed Exploratory,Onshore,Wyoming,Johnson,"56019","",Gas (mcf),1777198
2003,Federal,Onshore,Mississippi,Lamar,"28073","",Oil (bbl),23530
2003,Federal,Onshore,Mississippi,Lamar,"28073","",Gas (mcf),4422
2003,Federal,Onshore,California,San Luis Obispo,"06079","",Gas (mcf),2937
2003,Federal,Onshore,Louisiana,S Pass,"22721","",Oil (bbl),24696
2003,Federal,Onshore,Arkansas,Yell,"05149","",Gas (mcf),432868
2003,Federal,Onshore,Utah,Tooele,"49045","",Potash (ton),13470
2003,Federal,Onshore,California,San Luis Obispo,"06079","",Oil (bbl),14545
2003,Federal,Onshore,Oklahoma,Harper,"40059","",Gas (mcf),92323
2003,Federal,Onshore,Oklahoma,Harper,"40059","",Oil (bbl),156
2003,Federal,Onshore,Utah,Tooele,"49045","",Salt (ton),3468
2003,Federal,Onshore,Montana,Liberty,"30051","",Gas (mcf),146552
2003,Federal,Onshore,Montana,Liberty,"30051","",Oil (bbl),6728
2003,Federal,Onshore,Ohio,Washington,"39167","",Oil (bbl),1610
2003,Federal,Offshore,"","","",Gulf of Mexico,Gas (mcf),4430270750
2003,Federal,Onshore,Mississippi,Lawrence,"28077","",Oil (bbl),10
2003,Federal,Onshore,Mississippi,Lawrence,"28077","",Gas (mcf),950
2003,Federal,Onshore,Utah,Tooele,"49045","",Manure salts (ton),4388
2003,Federal,Onshore,Montana,Hill,"30041","",Gas (mcf),289291
2003,Federal,Onshore,Ohio,Washington,"39167","",Gas (mcf),39794
2003,Federal,Onshore,Utah,Emery,"49015","",Coal (ton),7603262
2003,Federal,Onshore,Utah,Emery,"49015","",Gas (mcf),14861278
2003,Federal,Onshore,North Dakota,Mckenzie,"38053","",Gas (mcf),3206890
